StudentID,Last Name,First Name,Email,Pts,Letter,%,Raw
21918140,Garcia,Stacy,sgarcia@example.com,75,A,100,38
24809574,Lopez,Nolan,nlopez@example.com,75,A,100,38
27775000,Nelson,Erin,enelson@example.com,75,A,100,38
28437596,Hall,Elise,ehall@example.com,75,A,100,38
22165175,Roberts,Connor,croberts@example.com,75,A,100,38
25138773,Thompson,Leah,lthompson@example.com,74,A,99,37
23385470,Nguyen,Hosam,hnguyen@example.com,74,A,99,37
20264749,Turner,Colby,cturner@example.com,74,A,99,37
20429577,Rivera,Delaney  ,drivera@example.com,73,A,97,37
28004826,Gutierrez,Andrew,agutierrez@example.com,73,A,97,37
22857830,Morgan,Alaina,amorgan@example.com,73,A,97,37
26687721,Parker,Chandler,cparker@example.com,71,A,95,36
25398173,Collins,Caroline,ccollins@example.com,71,A,95,36
23575568,Ortiz,Alandria,aortiz@example.com,70,A,93,35
26948873,Ramirez,Kaitlin,kramirez@example.com,69,A,92,35
21600397,Campbell,Delancy,dcampbell@example.com,69,A,92,35
20445792,Stewart,Brandon,bstewart@example.com,69,A,92,35
20899190,Murphy,Aven,amurphy@example.com,69,A,92,35
26199572,Harris,Lana,lharris@example.com,68,A,91,34
27217947,Scott,Jennah,jscott@example.com,68,A,91,34
27570977,Lewis,Jordyn,jlewis@example.com,67,B,89,34
26754546,Evans,Colson,cevans@example.com,67,B,89,34
22224188,Johnson,William  ,wjohnson@example.com,65,B,87,33
29151609,Rodriguez,Salvador,srodriguez@example.com,65,B,87,33
27095103,Martinez,Rachel,rmartinez@example.com,65,B,87,33
26019703,Walker,Jessica  ,jwalker@example.com,65,B,87,33
28791645,Edwards,Caroline,cedwards@example.com,65,B,87,33
21232555,Williams,Tuong,twilliams@example.com,64,B,85,32
29891554,Jones,Sydney,sjones@example.com,64,B,85,32
23243269,Thomas,Matthew,mthomas@example.com,64,B,85,32
27650413,Lee,Madison,mlee@example.com,64,B,85,32
22815497,Green,Faith,fgreen@example.com,64,B,85,32
20100071,Taylor,Matthew,mtaylor@example.com,62,B,83,31
24262190,Sanchez,Kenna,ksanchez@example.com,62,B,83,31
27068191,Allen,Jessica,jallen@example.com,62,B,83,31
20250026,Hill,Hayden,hhill@example.com,62,B,83,31
23939892,Davis, Sam, davis@example.com,61,B,81,31
21774445,Reyes,Brittany,breyes@example.com,61,B,81,31
22215962,Hernandez,Olivia,ohernandez@example.com,60,B,80,30
23376472,Jackson,Maria,mjackson@example.com,60,B,80,30
23198434,Robinson,Jimiah  ,jrobinson@example.com,60,B,80,30
21225865,Flores,Haley,hflores@example.com,60,B,80,30
22305771,Torres,Jason,jtorres@example.com,59,C,79,30
20156872,Mitchell,Davis  ,dmitchell@example.com,59,C,79,30
27409399,Rogers,Antoinette,arogers@example.com,58,C,77,29
23801146,Wilson,Mohamed,mwilson@example.com,57,C,76,29
23131699,Moore,Mary  ,mmoore@example.com,57,C,76,29
25671901,Clark,Keely  ,kclark@example.com,57,C,76,29
21991773,Carter,Dakota,dcarter@example.com,57,C,76,29
22867643,Cruz,Chaiston,ccruz@example.com,57,C,76,29
23386206,King,Jessica,jking@example.com,56,C,75,28
21608462,Wright,Jennifer,jwright@example.com,55,C,73,28
21198353,Adams,Faith,fadams@example.com,55,C,73,28
21242657,Brown,Tristan,tbrown@example.com,54,C,72,27
21804201,Gonzales,Molly,mgonzales@example.com,54,C,72,27
28736841,White,Lauron,lwhite@example.com,53,C,71,27
22649373,Young,Jessica,jyoung@example.com,53,C,71,27
21477883,Morris,Blakely  ,bmorris@example.com,53,C,71,27
29860008,Miller,Samuel  ,smiller@example.com,52,F,69,26
22410498,Martin,Madison,mmartin@example.com,52,F,69,26
28778696,Baker,Emma  ,ebaker@example.com,52,F,69,26
29798659,Perez,Madden,mperez@example.com,51,F,68,26
24402838,Yates,Adisyn  ,ayates@example.com,51,F,68,26
22144888,Anderson,Mieyah,manderson@example.com,50,F,67,25
29892603,Phillips,Colton  ,cphillips@example.com,50,F,67,25
26964607,Diaz,Chloe,cdiaz@example.com,50,F,67,25
23392893,Morales,Baylee,bmorales@example.com,50,F,67,25
24686921,Cook,Ashton,acook@example.com,50,F,67,25
28663476,Gomez,Connor,cgomez@example.com,49,F,65,25
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
